accuracy,loss,val_accuracy,val_loss
0.8036999702453613,0.4240419566631317,0.8406000137329102,0.36722010374069214
0.8827999830245972,0.290118545293808,0.8478000164031982,0.3445834815502167
0.9095500111579895,0.23637670278549194,0.8730000257492065,0.31759828329086304
0.9259499907493591,0.20195704698562622,0.8884000182151794,0.28047749400138855
0.939300000667572,0.17104777693748474,0.8841999769210815,0.27858367562294006
0.9489499926567078,0.14569790661334991,0.871999979019165,0.3627910912036896
0.9589999914169312,0.1209229975938797,0.8924000263214111,0.29254403710365295
0.9667500257492065,0.09948365390300751,0.8830000162124634,0.32381710410118103
0.9748499989509583,0.08067566156387329,0.8808000087738037,0.3553115129470825
0.9801999926567078,0.06388194859027863,0.8820000290870667,0.37497812509536743
